"지역별(1)","시점",종합
"지방","2012.06",6.8
"지방","2013.06",9.5
"지방","2014.06",12.6
"지방","2015.06",15.4
"지방","2016.06",17.3
"지방","2017.06",17.8
"지방","2018.06",16.5
"지방","2019.06",13.8
"지방","2020.06",13.9
"지방","2021.06",20.9
