신혼부부 특성별(2),2020,2020
신혼부부 특성별(2),합계,자녀없음
신혼부부 특성별(2),소계,소계
소계,938080,417741
혼인 1년차,168149,138827
혼인 2년차,179905,105455
혼인 3년차,190750,77483
혼인 4년차,192691,53812
혼인 5년차,206585,42164
