"신혼부부 특성별(1)",신혼부부 특성별(2),2020,2020,2020,2020,2020,2020,2020,2020
"신혼부부 특성별(1)",신혼부부 특성별(2),합계,자녀없음,자녀있음,자녀있음,자녀있음,자녀있음,자녀있음,자녀있음
"신혼부부 특성별(1)",신혼부부 특성별(2),소계,소계,소계,1명,2명,3명,4명,5명이상
"전국",소계,938080,417741,520339,409691,106652,3870,117,9
"혼인연차별",혼인 1년차,168149,138827,29322,28745,529,43,X,X
"혼인연차별",혼인 2년차,179905,105455,74450,71622,2736,82,8,X
"혼인연차별",혼인 3년차,190750,77483,113267,99216,13736,300,12,X
"혼인연차별",혼인 4년차,192691,53812,138879,104998,32933,916,31,X
"혼인연차별",혼인 5년차,206585,42164,164421,105110,56718,2529,62,X
