"지역별(1)","시점",종합
"수도권","2016.06",-1.0
"수도권","2017.06",-1.5
"수도권","2018.06",-1.7
"수도권","2019.06",-1.9
"수도권","2020.06",-2.5
"수도권","2021.06",-2.1
